datetime,DC Discharging power (MW) - One Cycle,Trading Profits (£) - One Cycle,Total Discharge (MWh) - One Cycle,£_kW_year - One Cycle,DC Discharging power (MW) - Two Cycle,Trading Profits (£) - Two Cycle,Total Discharge (MWh) - Two Cycle,£_kW_year - Two Cycle
2016,73184.39999999978,1674138.079604736,36592.19999999989,16.74138079604736,127633.92559999999,1791621.1962376202,63816.962799999994,17.916211962376202
2017,72999.99999999977,1088028.5206992894,36499.99999999988,10.880285206992895,127174.5676,1218899.8942753933,63587.2838,12.188998942753933
2018,72815.59999999976,1016134.6121497246,36407.79999999988,10.161346121497246,116760.96759999999,1102655.4674510823,58380.483799999995,11.026554674510823
2019,73184.39999999976,922423.0723918177,36592.19999999988,9.224230723918177,142243.2528,1064631.5306541591,71121.6264,10.646315306541592
2020,73170.01679999981,1186471.7277699371,36585.008399999904,11.864717277699372,146084.39999999967,1412266.6005882656,73042.19999999984,14.122666005882655
2021,73439.42519999981,3588092.771748739,36719.712599999904,35.88092771748739,146839.42519999974,4046130.5715535684,73419.71259999987,40.46130571553569
2022,73978.85039999978,4753496.6767417705,36989.42519999989,47.53496676741771,146464.46719999975,5545098.259942537,73232.23359999988,55.45098259942537
2023,60053.522,1279882.97621594,30026.761,12.7988297621594,60053.522,1279882.97621594,30026.761,12.7988297621594
